project_id,name_of_project,location,contractor,office_name,funds_source,project_cost,date_started,completion_orig,completion_actual,status_percent
NC0115H00071, Asphalting and Re-gravelling of area beside Quirino Grandstand OTHER IMPVT WORKS(SLOPE PROTECTION  DRAINAGE  SIDEWALKS),"Manila District 5,South Manila District Engineering Office,NCR",READYCON TRADING & CONSTRUCTION CORP.,"South Manila District Engineering Office,NCR",VILP,401,3/26/2015,4/24/2015,4/24/2015,100
NC0115F00043,Construction/Maintenance of Flood Mitigation Structures and Drainage System along Aragon  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",FMSD,"5,000",3/26/2015,8/1/2015,7/31/2015,100
NC0315T00028,Local Infrastructure Program - Rehabilitation of MPB - Brgy. East Kamias  Q.C.  Brgy. Quirino 2A  Brgy. Bagumbuhay & Brgy. Bayanihan  Quezon City 3rd LD CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",PRISMODIAL CONSTRUCTION CORPORATION (FOR. PRISMODI,"Quezon City 2nd District Engineering Office,NCR",RLIP,"5,451",3/26/2015,7/31/2015,7/31/2015,100
NC0315T00090,Local Infrastructure Program - Repair and Rehabilitation of Multi-Purpose Building  Camp Crame High School  Quezon City CONSTRUCTION,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",ELPA CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",RLIP,"2,760",3/26/2015,6/17/2015,6/17/2015,100
NC0115H00010,Local Infrastructure Program - Rehabilitation of roads with drainage improvement  Aragon St. (Lacson to Dimasalang)  Sta. Cruz  Manila (DEO - North Manila) 3rd LD GRAVEL TO PAVED,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",RLIP,"10,000",3/26/2015,8/1/2015,7/31/2015,100
NC0115F00040,Construction/Maintenance of Flood Mitigation Structures and Drainage System along Delpan Service Road  Chainage 000.0 to 190.0  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",R.F. TARUC CONSTRUCTION,"North Manila District Engineering Office,NCR",FMSD,"6,407",3/26/2015,9/22/2015,9/22/2015,100
NC0115F00070,Construction/Maintenance of Flood Control Mitigation Structures and Drainage System along Pureza (Magsaysay to Estero de Valencia  C000.0 to C298  Manila City 4th LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",HOUSEROCK BUILDERS & TRADING,"North Manila District Engineering Office,NCR",FMSD,"9,160",3/26/2015,9/14/2015,9/14/2015,100
NC0115F00076,Construction of Flood Control & Drainage Structures along Muelle dela Industria Chainage 835.0 to Chainage 139.0  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",FMSD,"9,008",3/26/2015,9/21/2015,8/26/2015,100
NC0115F00039,Construction/Maintenance of Flood Mitigation Structures and Drainage System along Quiroga St.  C0 to C210  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",FMSD,"5,000",3/26/2015,8/1/2015,7/31/2015,100
NC0215F00019,Rehabilitation of Slope Protection along Pansipit Creek  Pasig City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",JOJO CONSTRUCTION AND DEVELOPMENT CORPORATION,"Metro Manila 1st District Engineering Office,NCR",FMSD,"6,512",3/26/2015,7/24/2015,4/30/2015,100
NC0215F00012,Construction of Slope Protection w/ Gabions as Foundation along Labasan River  Brgy. Palingon-Tipas (Rightside facing downstream)  Taguig City-Pateros 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",DAHL CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",FMSD,"17,369",3/25/2015,7/23/2015,7/23/2015,100
NC0215H00088,Local Infrastructure Program - Rehabilitation of Local Roads  Brgy. Baritan  Malabon City GRAVEL TO PAVED,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",FRAMECON BUILDERS,"Malabon-Navotas District Engineering Office,NCR",RLIP,"7,417",3/25/2015,7/23/2015,7/23/2015,100
NC0315T00024,Local Infrastructure Program - Construction of MPB  Brgy. Holy Spirit  Quezon City 2nd LD CONSTRUCTION,"DistrictWide,Quezon City 1st District Engineering Office,NCR",L.P.O. ENTERPRISES,"Quezon City 1st District Engineering Office,NCR",RLIP,"1,970",3/25/2015,6/22/2015,9/10/2015,100
NC0215T00022,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Construction of Multi-Purpose Building at Pedro P. Cruz Elementary School  Brgy. Barangka Drive  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",VIRAC NRC CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",VILP,"18,518",3/25/2015,10/19/2015,10/19/2015,100
NC0315F00023,Construction/Rehabilitation of Malong Creek  Quezon City 3rd LD  CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",DELA ROSA CONSTRUCTION & DEVT. CORP. (FORMERLY: Z,"Quezon City 2nd District Engineering Office,NCR",FMSD,"4,458",3/24/2015,7/6/2015,7/6/2015,100
NC0315F00032,Construction/Rehabilitation of Marikina River Tributary  Brgy. Libis  Quezon City 3rd LD  CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",METRICS CONSTRUCTION & TRADING,"Quezon City 2nd District Engineering Office,NCR",FMSD,"10,000",3/24/2015,9/19/2015,9/19/2015,100
NC0315F00021,Construction/Rehabilitation of Duyan-Duyan Creek  Quezon City 3rd LD  CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",LMG CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",FMSD,"9,799",3/23/2015,9/18/2015,9/18/2015,100
NC0315F00057,Construction/Rehabilitation of Drainage System along 20th Avenue (Don Jose Creek-B. Serrano Ave.) Intermittent Section  Quezon City 3rd LD CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"Quezon City 2nd District Engineering Office,NCR",FMSD,"8,000",3/23/2015,9/23/2015,9/23/2015,100
NC0315F00033,Local Infrastructure Program - Concreting and Drainage Improvement of Scout Boromeo St.  Brgy. South Tiangle  Quezon City 4th LD CONSTRUCTION,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",MOJAR CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",RLIP,"5,000",3/23/2015,8/1/2015,8/1/2015,100
NC0215F00173,Local Infrastructure Program-Construction of Drainage  Doon Compound  Brgy. Karuhatan  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FEL-GENE CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"1,836",3/23/2015,5/21/2015,5/21/2015,100
NC0215H00041,Local Infrastructure Program-Concreting of Road   La Huerta I  Brgy. Marulas  Valenzuela City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",E.L. TORRES CONSTRUCTION AND TRADING,"Metro Manila 3rd District Engineering Office,NCR",RLIP,916,3/23/2015,5/6/2015,4/25/2015,100
NC0215H00040,Local Infrastructure Program-Concreting of Road   Don Pedro St. Brgy. Marulas  Valenzuela City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",E.L. TORRES CONSTRUCTION AND TRADING,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,093",3/23/2015,7/20/2015,6/25/2015,100
NC0215F00181,Local Infrastructure Program-Construction/Rehabilitation of Creek with Concreting of Road  Marulas Creek  Along Guansing St.  Bry. Marulas Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"5,289",3/23/2015,9/18/2015,9/18/2015,100
NC0315T00118,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building  Barangay West Kamias  Quezon City 3rd LD CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"Quezon City 2nd District Engineering Office,NCR",RLIP,"3,000",3/23/2015,8/3/2015,8/3/2015,100
NC0315F00048,Construction/Rehabilitation of Pasong Tamo Creek  Brgy. Old Balara  Quezon City 3rd LD  CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",AYANGAN CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",FMSD,"4,496",3/23/2015,7/20/2015,7/20/2015,100
NC0115F00010,Construction/Maintenance of Flood Mitigation Structures and Drainage System along Nicolas Zamora  Tondo  Chainage 000 to 500  Manila City 1st LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR","TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","North Manila District Engineering Office,NCR",FMSD,"8,863",3/20/2015,7/12/2015,9/14/2015,100
NC0215H00089,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation/Reconstruction/Upgrading of Pasolo-Rincon Road including Drainage  Valenzuela City 1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",VILP,"17,124",3/20/2015,9/13/2015,9/13/2015,100
NC0215H00148,Local Infrastructure Program - Rehabilitation of Road and Drainage System of MH del Pilar St.  Pag-Asa  Camarin  Barangay 175  Caloocan City 1st LD   GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",PUREGOLD CONSTRUCTION & DEVT. CORP.,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,563",3/20/2015,7/17/2015,7/17/2015,100
NC0315H00002,Local Infrastructure Program - Concreting and Drainage Improvement of St. Peter/Hilltop St.  Brgy. Horseshoe  Quezon City 4th LD GRAVEL TO PAVED,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",HONEYVILLE CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",RLIP,"11,500",3/20/2015,7/11/2015,6/30/2015,100
NC0215T00035,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Lawang Bato  Valenzuela City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",J. SIMEON CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,252",3/20/2015,7/17/2015,6/25/2015,100
NC0215T00040,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Parada  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","TOUGHBUILT CONSTRUCTION & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"3,668",3/20/2015,7/17/2015,5/25/2015,100
NC0215T00039,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Mapulang Lupa  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","TOUGHBUILT CONSTRUCTION & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"2,345",3/20/2015,6/17/2015,6/15/2015,100
NC0215T00110,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Wawang Pulo  Valenzuela City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",LARSEN-DUTCHER CONSTRACTOR,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"2,421",3/20/2015,7/17/2015,6/25/2015,100
NC0215F00010,Construction of Slope Protection and Desilting of Creek  Brgy. Hagunoy  Taguig City  Taguig City-Pateros 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",NORTHERN BUILDERS,"Metro Manila 1st District Engineering Office,NCR",FMSD,"17,369",3/20/2015,9/16/2015,9/16/2015,100
NC0215T00038,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Malinta  Valenzuela City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",J. SIMEON CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"2,351",3/20/2015,6/17/2015,6/15/2015,100
NC0215F00074,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Improvement of Roads with Drainage System at Brgy. 177  Caloocan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",PUREGOLD CONSTRUCTION & DEVT. CORP.,"Metro Manila 3rd District Engineering Office,NCR",VILP,"7,612",3/20/2015,8/16/2015,8/14/2015,100
NC0215T00072,Local Infrastructure Program - Construction of Multi-purpose Building  Valenzuela Nat'l High School  Barangay Marulas  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","DREAMWORX BUILDER & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"2,287",3/20/2015,6/17/2015,6/17/2015,100
NC0215T00070,Local Infrastructure Program - Construction of Multi-purpose Building  Doña Ata Elementary School  Barangay Marulas  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","DREAMWORX BUILDER & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"1,113",3/20/2015,6/17/2015,5/25/2015,100
NC0315T00080,Local Infrastructure Program - Repair/Rehabilitation Multi-Purpose Building  Quezon Memorial Shrine Elliptical Road  Quezon City CONSTRUCTION,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",By Administration,"Quezon City 2nd District Engineering Office,NCR",RLIP,"10,000",3/20/2015,6/25/2015,6/25/2015,100
NC0215T00044,Local Infrastructure Program - Construction of Multi-purpose Building  Constantino Elementary School  Barangay Marulas  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","DREAMWORX BUILDER & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"1,757",3/20/2015,6/17/2015,4/30/2015,100
NC0215H00081,Canumay-Bignay Road  -  Chainage 2034 - Chainage 2937 PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",LARSEN-DUTCHER CONSTRACTOR,"Metro Manila 3rd District Engineering Office,NCR",UPSR,"7,790",3/19/2015,9/14/2015,9/12/2015,100
NC0215H00045,Local Infrastructure Program - Rehabilitation of Dona Soledas Extension  Barangay Don Bosco  Paranaque City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 2nd District Engineering Office,NCR",JURASSIC CONSTRUCTION & SUPPLIES,"Metro Manila 2nd District Engineering Office,NCR",RLIP,"6,181",3/19/2015,7/9/2015,6/23/2015,100
NC0215T00033,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Bignay  Valenzuela City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","TOUGHBUILT CONSTRUCTION & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,258",3/19/2015,8/15/2015,8/15/2015,100
NC0215T00083,Local Infrastructure Program - Rehabilitation of Multi-Purpose Building  Santolan Road  Brgy. Little Baguio  San Juan Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. VALENCERINA TRADING & CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,965,3/19/2015,5/17/2015,5/17/2015,100
NC0215S00016,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of School Building at Mandaluyong Elementary School  Brgy. Poblacion  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. VALENCERINA TRADING & CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",VILP,"2,882",3/19/2015,6/14/2015,6/11/2015,100
NC0215S00021,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of School Building at Plainview Elementary School  Brgy. Plainview  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. VALENCERINA TRADING & CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",VILP,"4,746",3/19/2015,6/17/2015,6/17/2015,100
NC0215H00091,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation/Reconstruction/Upgrading of Canumay-Bignay Road  Valenzuela City 1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",LARSEN-DUTCHER CONSTRACTOR,"Metro Manila 3rd District Engineering Office,NCR",VILP,"17,286",3/19/2015,10/13/2015,10/12/2015,100
NC0215H00090,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation/Reconstruction/Upgrading of Canumay-Bignay Road  Valenzuela City 1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",LARSEN-DUTCHER CONSTRACTOR,"Metro Manila 3rd District Engineering Office,NCR",VILP,"7,478",3/18/2015,9/13/2015,9/12/2015,100
NC0215H00150,Local Infrastructure Program - Rehabilitation/ Upgrading/ Concreting with Drainage Improvement along Pampano Street  (Alternate Route from Tanigue to Lapu-Lapu Ave.)  Brgy. 14  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",LARSEN-DUTCHER CONSTRACTOR,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"12,382",3/18/2015,9/13/2015,8/25/2015,100
NC0215T00168,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Arkong Bato  Valenzuela City 1st LD CONSTRUCTION,"Valenzuela City I,Metro Manila 3rd District Engineering Office,NCR","TOUGHBUILT CONSTRUCTION & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,248",3/18/2015,7/15/2015,7/15/2015,100
NC0215H00046,Local Infrastructure Program - Rehabilitation/Repair of Roads with Drainage Improvement of Alleys at Barangay 18  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","DREAMWORX BUILDER & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"3,646",3/18/2015,7/15/2015,5/25/2015,100
NC0215H00071,C-3 Road  -  K0011+-229 - K0011+321 PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",UPSR,"1,431",3/18/2015,4/16/2015,4/10/2015,100
NC0215H00116,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation/Improvement of Roads and Drainage along 3rd Avenue (from Rizal Ave. to Nadurata St.)  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",VILP,"10,610",3/18/2015,8/14/2015,7/25/2015,100
NC0215H00118,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Concreting with Drainage Improvement along 8th Ave. (West) (from Rizal Ave. to P. Galauran St.)  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",IM CONSTRUCTION CORPORATION,"Metro Manila 3rd District Engineering Office,NCR",VILP,"10,592",3/18/2015,8/14/2015,4/30/2015,100
NC0215H00119,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Concreting with Drainage Improvement along 9th Ave. (West) (from Rizal Ave. Ext. to P. Galauran St.)  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",IM CONSTRUCTION CORPORATION,"Metro Manila 3rd District Engineering Office,NCR",VILP,"17,635",3/18/2015,8/14/2015,6/25/2015,100
NC0215T00097,Local Infrastructure Program - Construction of Multi-Purpose Building at Bo. San Jose  Tala  Barangay 187  Kalookan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",E.I. VILLACORTE CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"5,174",3/18/2015,8/14/2015,8/12/2015,100
NC0215T00095,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay 177  Kalookan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,092",3/18/2015,7/15/2015,7/15/2015,100
NC0215H00120,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Upgrading/Concreting with Drainage Improvement along C. Name St. (from 2nd Ave. to Manila Boundary)  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","DREAMWORX BUILDER & TRADING, INC.","Metro Manila 3rd District Engineering Office,NCR",VILP,"7,229",3/18/2015,7/15/2015,4/30/2015,100
NC0215T00094,Local Infrastructure Program - Construction of Multi-Purpose Building at Ph. 5  Pkg. 1  Bagong Silang  Barangay 176  Kalookan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",E.I. VILLACORTE CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"5,498",3/18/2015,8/14/2015,8/12/2015,100
NC0215T00131,Local Infrastructure Program - Construction of Multi-Purpose Building at Phase 2  Natividad Subdivision  Deparo  Barangay 168  Kalookan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"5,349",3/18/2015,7/15/2015,7/15/2015,100
NC0215H00036,Local Infrastructure Program - Rehabilitation/Repair of Roads with Drainage Improvement of Kapanalig St. Barangay 28  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",ST. GERRARD CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"3,764",3/18/2015,7/15/2015,6/25/2015,100
NC0215T00077,Local Infrastructure Program - Construction of Multi-purpose Building  Liwayway  Barangay Marulas  Valenzuela City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"1,380",3/18/2015,6/15/2015,5/25/2015,100
NC0215H00044,Local Infrastructure Program - Rehabilitation/Repair of Roads with Drainage Improvement of C. Name St.. (Barangays 36 37 and 38)  Caloocan City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",C.B. TAMPENGCO CONSTRUCTION & SUPPLY,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"10,785",3/18/2015,8/14/2015,8/12/2015,100
NC0115F00013,Construction of Pumping Station  Retarding Basin and Connecting Drainage - Rehabilitation with drainage improvement along Lavezares St.  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",JQM CONSTRUCTION AND TRADING,"North Manila District Engineering Office,NCR",FMSD,"4,286",3/17/2015,9/5/2015,9/5/2015,100
NC0215H00072,MacArthur H-way -  K0011+-297 - K0011+003 PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",E.L. TORRES CONSTRUCTION AND TRADING,"Metro Manila 3rd District Engineering Office,NCR",UPAR,"15,321",3/17/2015,9/12/2015,9/12/2015,100
NC0215F00148,Construction/Rehabilitation of Drainage Systems along Deparo  Camarin Road  Caloocan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",ST. GERRARD CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",FMSD,"17,620",3/17/2015,9/12/2015,8/28/2015,100
NC0215F00150,Construction/Rehabilitation of Drainage System along Deparo - Bagumbong Road  Caloocan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",ST. GERRARD CONSTRUCTION,"Metro Manila 3rd District Engineering Office,NCR",FMSD,"16,381",3/17/2015,9/12/2015,8/28/2015,100
NC0215H00106,Local Infrastructure Program - Construction/Repair/Rehabilitation of Road Network  Guevarra Compound  Champaca II  Brgy. Fortune  Marikina City  2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. VALENCERINA TRADING & CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,442",3/17/2015,5/15/2015,7/14/2015,100
NC0215T00096,Local Infrastructure Program - Construction of Multi-Purpose Building at ADNAI San Vicente Ferrer  Camarin  Barangay 178  Kalookan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,892",3/17/2015,7/14/2015,7/14/2015,100
NC0215T00147,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Bldg.  Marikina City  Ipil-Baretto HOA (Park 14) Valenzuela St.  Brgy. Marikina Heights  2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",DELPAR CONSTRUCTION & SUPPLIES,"Metro Manila 1st District Engineering Office,NCR",RLIP,"2,803",3/16/2015,6/14/2015,6/12/2015,100
NC0215T00143,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building  Multi-Purpose Hall  Brgy. Addition Hills  San Juan City CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. BERNARDO CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"2,864",3/16/2015,6/13/2015,6/12/2015,100
NC0215H00006,Local Infrastructure Program - Repair/Rehabilitation of Road Network at Barangay Parang (PDP HOA)  Marikina City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",KRBS CONSTRUCTION AND TRADING,"Metro Manila 1st District Engineering Office,NCR",RLIP,"4,456",3/16/2015,7/13/2015,7/13/2015,100
NC0215H00022,Local Infrastructure Program - Repair /Rehab/Improvement of road including drainage system  Kaolin St.  Brgy. Parang  Marikina City 2nd LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",EXPRESS CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,530",3/16/2015,6/14/2015,6/11/2015,100
NC0215T00130,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building  MPB (Covered Court) Brgy. Corazon de Jesus  San Juan City CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. BERNARDO CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"2,894",3/16/2015,5/15/2015,5/15/2015,100
NC0215H00008,Local Infrastructure Program - Repair/Rehab of Road Network  along Nangka Centro and Vicinity  Brgy. Nangka  Marikina City GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",LTDL BUILDERS,"Metro Manila 1st District Engineering Office,NCR",RLIP,"4,041",3/16/2015,5/15/2015,5/12/2015,100
